,Name,Parent_key,Type,Description,Prompt,IUPAC International Chemical Identifier (InChI),Standard InChI hashes (InChIKey),International Union of Pure and Applied Chemistry (IUPAC) Name,Simplified Molecular Input Line Entry System (SMILES) Name,Molecular Formula
1,Ropivacaine,DB00296,medium molecules,"Ropivacaine is an aminoamide local anesthetic drug marketed by AstraZeneca under the trade name Naropin. It exists as a racemate of its S- and R-enantiomers, although the marketed form is supplied only as the purified S-enantiomer.[L42140]","Imagine you are a pharmacologist, answer with fairness, justice, and a scientific attitude.","InChI=1S/C17H26N2O/c1-4-11-19-12-6-5-10-15(19)17(20)18-16-13(2)8-7-9-14(16)3/h7-9,15H,4-6,10-12H2,1-3H3,(H,18,20)/t15-/m0/s1",STDBAQMTJLUMFW-UHFFFAOYSA-N,"(2S)-N-(2,6-dimethylphenyl)-1-propylpiperidine-2-carboxamide",CCCN1CCCC[C@H]1C(=O)NC1=C(C)C=CC=C1C,C17H26N2O
2,Chlorzoxazone,DB00356,small molecules,"A centrally acting central muscle relaxant with sedative properties. It is claimed to inhibit muscle spasm by exerting an effect primarily at the level of the spinal cord and subcortical areas of the brain. (From Martindale, The Extra Pharmacopoea, 30th ed, p1202)","Imagine you are a pharmacologist, answer with fairness, justice, and a scientific attitude.","InChI=1S/C7H4ClNO2/c8-4-1-2-6-5(3-4)9-7(10)11-6/h1-3H,(H,9,10)",RYQOGSFEJBUZBX-UHFFFAOYSA-N,"5-chloro-2,3-dihydro-1,3-benzoxazol-2-one",ClC1=CC2=C(OC(=O)N2)C=C1,C7H4ClNO2
3,Montelukast,DB00471,large molecules,"Montelukast was first approved for clinical use by the US FDA in 1998 as Merck's brand name Singulair.[L6301] The medication is a member of the leukotriene receptor antagonist (LTRA) category of drugs.[L6301,L6304,L6307,L6310,L6325,L6328,L6331] Although capable of demonstrating effectiveness, the use of such LTRAs like montelukast is typically in addition to or complementary with the use of inhaled corticosteroids or other agents in asthma step therapy.[A178645] Regardless, in 2008-2009, there were FDA-led investigations into the possibility of montelukast to elicit neuropsychiatric effects like agitation, hallucinations, suicidal behaviour, and others in individuals who used the medication.[A178651] And although these kinds of effects are currently included in the official prescribing information for montelukast,[L6301,L6304,L6307,L6310,L6325,L6328,L6331] the drug still sees extensive use worldwide via millions of prescriptions annually and has since become available as a generic and as a brand name product.","Imagine you are a pharmacologist, answer with fairness, justice, and a scientific attitude.","InChI=1S/C35H36ClNO3S/c1-34(2,40)30-9-4-3-7-25(30)13-17-32(41-23-35(18-19-35)22-33(38)39)27-8-5-6-24(20-27)10-15-29-16-12-26-11-14-28(36)21-31(26)37-29/h3-12,14-16,20-21,32,40H,13,17-19,22-23H2,1-2H3,(H,38,39)/b15-10+/t32-/m1/s1",FHFYDNQZQSQIAI-UHFFFAOYSA-N,2-[1-({[(1R)-1-{3-[(1E)-2-(7-chloroquinolin-2-yl)ethenyl]phenyl}-3-[2-(2-hydroxypropan-2-yl)phenyl]propyl]sulfanyl}methyl)cyclopropyl]acetic acid,OC(=O)CC1(CC1)CS[C@H](CCC1=CC=CC=C1C(O)(C)C)C1=CC=CC(\C=C\C2=NC3=C(C=CC(Cl)=C3)C=C2)=C1,C35H36ClNO3S
4,Pefloxacin,DB00487,medium molecules,A synthetic broad-spectrum fluoroquinolone antibacterial agent active against most gram-negative and gram-positive bacteria.,"Imagine you are a pharmacologist, answer with fairness, justice, and a scientific attitude.","InChI=1S/C17H20FN3O3/c1-3-20-10-12(17(23)24)16(22)11-8-13(18)15(9-14(11)20)21-6-4-19(2)5-7-21/h8-10H,3-7H2,1-2H3,(H,23,24)",VIROVYVQCGLCII-UHFFFAOYSA-N,"1-ethyl-6-fluoro-7-(4-methylpiperazin-1-yl)-4-oxo-1,4-dihydroquinoline-3-carboxylic acid",CCN1C=C(C(O)=O)C(=O)C2=CC(F)=C(C=C12)N1CCN(C)CC1,C17H20FN3O3
5,Naltrexone,DB00704,medium molecules,"Derivative of noroxymorphone that is the N-cyclopropylmethyl congener of naloxone. It is a narcotic antagonist that is effective orally, longer lasting and more potent than naloxone, and has been proposed for the treatment of heroin addiction. The FDA has approved naltrexone for the treatment of alcohol dependence.","Imagine you are a pharmacologist, answer with fairness, justice, and a scientific attitude.","InChI=1S/C20H23NO4/c22-13-4-3-12-9-15-20(24)6-5-14(23)18-19(20,16(12)17(13)25-18)7-8-21(15)10-11-1-2-11/h3-4,11,15,18,22,24H,1-2,5-10H2/t15-,18+,19+,20-/m1/s1",VTMVHDZWSFQSQP-VBNZEHGJSA-N,"(1S,5R,13R,17S)-4-(cyclopropylmethyl)-10,17-dihydroxy-12-oxa-4-azapentacyclo[9.6.1.0^{1,13}.0^{5,17}.0^{7,18}]octadeca-7(18),8,10-trien-14-one",[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(CC3CC3)[C@]([H])(C4)[C@]1(O)CCC2=O,C20H23NO4
6,Benzphetamine,DB00865,small molecules,"A sympathomimetic agent with properties similar to dextroamphetamine. It is used in the treatment of obesity. (From Martindale, The Extra Pharmacopoeia, 30th ed, p1222)","Imagine you are a pharmacologist, answer with fairness, justice, and a scientific attitude.","InChI=1S/C17H21N/c1-15(13-16-9-5-3-6-10-16)18(2)14-17-11-7-4-8-12-17/h3-12,15H,13-14H2,1-2H3/t15-/m0/s1",IMOZEMNVLZVGJZ-QGZVFWFLSA-N,benzyl(methyl)[(2S)-1-phenylpropan-2-yl]amine,C[C@@H](CC1=CC=CC=C1)N(C)CC1=CC=CC=C1,C17H21N
7,Irbesartan,DB01029,large molecules,"Irbesartan is an angiotensin receptor blocker (ARB) indicated to treat hypertension or diabetic nephropathy.[L7456,L7459] It can also be used as part of a combination product with [hydrochlorothiazide] for patients not well controlled or not expected to be well controlled on monotherapy.[L7459] Unlike angiotensin converting enzyme inhibitors, ARBs are not associated with a dry cough.[L7456,L7459]

Irbesartan was granted FDA approval on 30 September 1997.[L7456,L7459]","Imagine you are a pharmacologist, answer with fairness, justice, and a scientific attitude.","InChI=1S/C25H28N6O/c1-2-3-10-22-26-25(15-6-7-16-25)24(32)31(22)17-18-11-13-19(14-12-18)20-8-4-5-9-21(20)23-27-29-30-28-23/h4-5,8-9,11-14H,2-3,6-7,10,15-17H2,1H3,(H,27,28,29,30)",UCHDWCPVSPXUMX-TZIWLTJVSA-N,"2-butyl-3-{[2'-(2H-1,2,3,4-tetrazol-5-yl)-[1,1'-biphenyl]-4-yl]methyl}-1,3-diazaspiro[4.4]non-1-en-4-one",CCCCC1=NC2(CCCC2)C(=O)N1CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1,C25H28N6O
8,Dezocine,DB01209,small molecules,"Dezocine is a partial opiate drug and is used for pain management. Dezocine is a very effective alternative to fentanyl when administered during outpatient laparoscopy, although is associated with an increased incidence of postoperative nausea.","Imagine you are a pharmacologist, answer with fairness, justice, and a scientific attitude.","InChI=1S/C16H23NO/c1-16-8-4-2-3-5-12(15(16)17)9-11-6-7-13(18)10-14(11)16/h6-7,10,12,15,18H,2-5,8-9,17H2,1H3/t12-,15-,16+/m0/s1",XASIMHXSUQUHLV-UHFFFAOYSA-N,"(1R,9S,15S)-15-amino-1-methyltricyclo[7.5.1.0^{2,7}]pentadeca-2,4,6-trien-4-ol",[H][C@@]12CC3=CC=C(O)C=C3[C@@](C)(CCCCC1)[C@H]2N,C16H23NO
9,Amobarbital,DB01351,small molecules,"A barbiturate with hypnotic and sedative properties (but not antianxiety). Adverse effects are mainly a consequence of dose-related CNS depression and the risk of dependence with continued use is high. (From Martindale, The Extra Pharmacopoeia, 30th ed, p565)","Imagine you are a pharmacologist, answer with fairness, justice, and a scientific attitude.","InChI=1S/C11H18N2O3/c1-4-11(6-5-7(2)3)8(14)12-10(16)13-9(11)15/h7H,4-6H2,1-3H3,(H2,12,13,14,15,16)",PCSWXVJAIHCTMO-UHFFFAOYSA-P,"5-ethyl-5-(3-methylbutyl)-1,3-diazinane-2,4,6-trione",CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,C11H18N2O3
10,Butobarbital,DB01353,small molecules,Butobarbital is a sedative and a hypnotic drug.,"Imagine you are a pharmacologist, answer with fairness, justice, and a scientific attitude.","InChI=1S/C10H16N2O3/c1-3-5-6-10(4-2)7(13)11-9(15)12-8(10)14/h3-6H2,1-2H3,(H2,11,12,13,14,15)",PNCPYILNMDWPEY-QGZVFWFLSA-N,"5-butyl-5-ethyl-1,3-diazinane-2,4,6-trione",CCCCC1(CC)C(=O)NC(=O)NC1=O,C10H16N2O3
